,name,rating,location,niche_grade,acceptance_rate (%),net_price ($),SAT_range,city,state,SAT_low,SAT_high,SAT_average
665,Oklahoma Baptist University,666,"SHAWNEE, OK",B,57,23175,990-1220,SHAWNEE, OK,990,1220,1105.0
666,ECPI University,667,"VIRGINIA BEACH, VA",B,74,20216,,VIRGINIA BEACH, VA,,,
667,Elizabethtown College,668,"ELIZABETHTOWN, PA",B,81,28198,1080-1290,ELIZABETHTOWN, PA,1080,1290,1185.0
668,Southern Illinois University Carbondale,669,"CARBONDALE, IL",B,66,16299,1030-1250,CARBONDALE, IL,1030,1250,1140.0
669,Valley City State University,670,"VALLEY CITY, ND",B,76,12386,950-1090,VALLEY CITY, ND,950,1090,1020.0
670,East Tennessee State University,671,"JOHNSON CITY, TN",B,86,14696,970-1180,JOHNSON CITY, TN,970,1180,1075.0
671,University of Illinois at Springfield,672,"SPRINGFIELD, IL",B,77,11534,1000-1220,SPRINGFIELD, IL,1000,1220,1110.0
672,Misericordia University,673,"DALLAS, PA",B,86,25978,1050-1220,DALLAS, PA,1050,1220,1135.0
673,Coastal Carolina University,674,"CONWAY, SC",B,69,15111,1010-1170,CONWAY, SC,1010,1170,1090.0
674,University of Texas - San Antonio,675,"SAN ANTONIO, TX",B,77,13168,1030-1220,SAN ANTONIO, TX,1030,1220,1125.0
675,Mills College,676,"OAKLAND, CA",B,76,25417,1000-1290,OAKLAND, CA,1000,1290,1145.0
676,University of Wisconsin - Platteville,677,"PLATTEVILLE, WI",B,85,14611,,PLATTEVILLE, WI,,,
677,University of Saint Francis - Indiana,678,"FORT WAYNE, IN",B,96,18055,950-1170,FORT WAYNE, IN,950,1170,1060.0
678,Northern State University,679,"ABERDEEN, SD",B,84,15575,980-1190,ABERDEEN, SD,980,1190,1085.0
679,Columbia International University,680,"COLUMBIA, SC",B,48,18242,930-1140,COLUMBIA, SC,930,1140,1035.0
680,Texas Woman's University,681,"DENTON, TX",B,93,9830,930-1150,DENTON, TX,930,1150,1040.0
681,Millikin University,682,"DECATUR, IL",B,71,22138,950-1200,DECATUR, IL,950,1200,1075.0
682,Brigham Young University - Hawaii,683,"LAIE, HI",B,97,12679,1080-1260,LAIE, HI,1080,1260,1170.0
683,Lyon College,684,"BATESVILLE, AR",B,44,17921,1040-1200,BATESVILLE, AR,1040,1200,1120.0
684,East Central University,685,"ADA, OK",B,59,9893,930-1140,ADA, OK,930,1140,1035.0
685,Molloy College,686,"ROCKVILLE CENTRE, NY",B,78,28500,1050-1240,ROCKVILLE CENTRE, NY,1050,1240,1145.0
686,Massachusetts College of Pharmacy & Health Sciences,687,"BOSTON, MA",B,85,39112,1010-1240,BOSTON, MA,1010,1240,1125.0
687,University of Wisconsin - River Falls,688,"RIVER FALLS, WI",B,79,13530,,RIVER FALLS, WI,,,
688,SUNY Farmingdale State College,689,"FARMINGDALE, NY",B,55,7481,990-1150,FARMINGDALE, NY,990,1150,1070.0
689,Linfield University,690,"MCMINNVILLE, OR",B,82,29521,1040-1230,MCMINNVILLE, OR,1040,1230,1135.0
690,SUNY Polytechnic Institute,691,"UTICA, NY",B,69,14420,1000-1360,UTICA, NY,1000,1360,1180.0
691,Menlo College,692,"ATHERTON, CA",B,63,27233,920-1150,ATHERTON, CA,920,1150,1035.0
692,Houghton College,693,"HOUGHTON, NY",B,81,23992,1060-1320,HOUGHTON, NY,1060,1320,1190.0
693,University of North Alabama,694,"FLORENCE, AL",B,89,14033,1020-1180,FLORENCE, AL,1020,1180,1100.0
694,Salish Kootenai College,695,"PABLO, MT",B,100,8223,,PABLO, MT,,,
695,Alcorn State University,696,"ALCORN STATE, MS",B,58,13907,800-970,ALCORN STATE, MS,800,970,885.0
696,University of Missouri - St. Louis,697,"SAINT LOUIS, MO",B,73,7977,1030-1230,SAINT LOUIS, MO,1030,1230,1130.0
697,Dallas Baptist University,698,"DALLAS, TX",B,90,27259,1030-1250,DALLAS, TX,1030,1250,1140.0
698,Youngstown State University,699,"YOUNGSTOWN, OH",B,67,11616,970-1180,YOUNGSTOWN, OH,970,1180,1075.0
699,Midwestern State University,700,"WICHITA FALLS, TX",B,79,9799,930-1120,WICHITA FALLS, TX,930,1120,1025.0
700,Fort Hays State University,701,"HAYS, KS",B,91,12108,,HAYS, KS,,,
701,Wisconsin Lutheran College,702,"MILWAUKEE, WI",B,89,21836,1020-1290,MILWAUKEE, WI,1020,1290,1155.0
702,McMurry University,703,"ABILENE, TX",B,45,21719,940-1100,ABILENE, TX,940,1100,1020.0
703,Lewis University,704,"ROMEOVILLE, IL",B,64,19520,1010-1200,ROMEOVILLE, IL,1010,1200,1105.0
704,Alverno College,705,"MILWAUKEE, WI",B,69,18384,770-1050,MILWAUKEE, WI,770,1050,910.0
705,Lebanon Valley College,706,"ANNVILLE, PA",B,80,27459,1050-1270,ANNVILLE, PA,1050,1270,1160.0
706,Old Dominion University,707,"NORFOLK, VA",B,89,16681,980-1180,NORFOLK, VA,980,1180,1080.0
707,Radford University,708,"RADFORD, VA",B,75,14981,890-1060,RADFORD, VA,890,1060,975.0
708,University of South Carolina - Upstate,709,"SPARTANBURG, SC",B,58,15838,920-1110,SPARTANBURG, SC,920,1110,1015.0
709,Kennesaw State University,710,"KENNESAW, GA",B,75,17175,1050-1230,KENNESAW, GA,1050,1230,1140.0
710,University of Houston - Downtown,711,"HOUSTON, TX",B,89,7159,920-1080,HOUSTON, TX,920,1080,1000.0
711,University of Saint Joseph,712,"WEST HARTFORD, CT",B,77,21602,1000-1230,WEST HARTFORD, CT,1000,1230,1115.0
712,Saint Mary's University of Minnesota,713,"WINONA, MN",B,92,20369,1030-1200,WINONA, MN,1030,1200,1115.0
713,University of Lynchburg,714,"LYNCHBURG, VA",B,91,24987,970-1170,LYNCHBURG, VA,970,1170,1070.0
714,Judson University,715,"ELGIN, IL",B,39,18641,880-1100,ELGIN, IL,880,1100,990.0
715,University of Nevada Las Vegas,716,"LAS VEGAS, NV",B,81,12403,1030-1250,LAS VEGAS, NV,1030,1250,1140.0
716,Aquinas College - Michigan,717,"GRAND RAPIDS, MI",B,69,19613,1000-1210,GRAND RAPIDS, MI,1000,1210,1105.0
717,Slippery Rock University,718,"SLIPPERY ROCK, PA",B,71,18144,1000-1170,SLIPPERY ROCK, PA,1000,1170,1085.0
718,Bethel University - Minnesota,719,"SAINT PAUL, MN",B,79,26468,1030-1290,SAINT PAUL, MN,1030,1290,1160.0
719,Wentworth Institute of Technology,720,"BOSTON, MA",B,69,37322,1060-1270,BOSTON, MA,1060,1270,1165.0
720,Pacific Union College,721,"ANGWIN, CA",B,53,22585,930-1190,ANGWIN, CA,930,1190,1060.0
721,Lycoming College,722,"WILLIAMSPORT, PA",B,62,20036,1040-1220,WILLIAMSPORT, PA,1040,1220,1130.0
722,Belmont University,723,"NASHVILLE, TN",B,84,36976,1130-1320,NASHVILLE, TN,1130,1320,1225.0
723,University of New Mexico,724,"ALBUQUERQUE, NM",B,94,11368,970-1290,ALBUQUERQUE, NM,970,1290,1130.0
724,University of Southern Indiana,725,"EVANSVILLE, IN",B,93,13360,980-1170,EVANSVILLE, IN,980,1170,1075.0
725,University of Redlands,726,"REDLANDS, CA",B,76,31180,1070-1270,REDLANDS, CA,1070,1270,1170.0
726,Stanbridge University - Orange County,727,"IRVINE, CA",B,63,25054,,IRVINE, CA,,,
727,St. Ambrose University,728,"DAVENPORT, IA",B,77,26561,1070-1270,DAVENPORT, IA,1070,1270,1170.0
728,Arkansas State University,729,"JONESBORO, AR",B,80,13281,1010-1220,JONESBORO, AR,1010,1220,1115.0
729,Palm Beach Atlantic University,730,"WEST PALM BEACH, FL",B,95,25908,980-1200,WEST PALM BEACH, FL,980,1200,1090.0
730,Metropolitan College of New York,731,"NEW YORK, NY",B,32,14687,,NEW YORK, NY,,,
731,Olivet Nazarene University,732,"BOURBONNAIS, IL",B,58,21043,960-1180,BOURBONNAIS, IL,960,1180,1070.0
732,Penn State Worthington Scranton,733,"DUNMORE, PA",B,82,17495,970-1150,DUNMORE, PA,970,1150,1060.0
733,Northwood University - Midland,734,"MIDLAND, MI",B,79,20610,960-1190,MIDLAND, MI,960,1190,1075.0
734,Augsburg University,735,"MINNEAPOLIS, MN",B,76,25311,1060-1300,MINNEAPOLIS, MN,1060,1300,1180.0
735,University of Hawaii at Hilo,736,"HILO, HI",B,52,14338,990-1170,HILO, HI,990,1170,1080.0
736,University of Charleston,737,"CHARLESTON, WV",B,50,21941,940-1140,CHARLESTON, WV,940,1140,1040.0
737,William Paterson University of New Jersey,738,"WAYNE, NJ",B,75,15096,890-1090,WAYNE, NJ,890,1090,990.0
738,University of New Haven,739,"WEST HAVEN, CT",B,83,34353,1030-1220,WEST HAVEN, CT,1030,1220,1125.0
739,Saint Mary-of-the-Woods College,740,"SAINT MARY OF THE WOODS, IN",B,67,17088,930-1120,SAINT MARY OF THE WOODS, IN,930,1120,1025.0
740,University of Detroit Mercy,741,"DETROIT, MI",B,77,18338,1060-1250,DETROIT, MI,1060,1250,1155.0
741,Ohio Wesleyan University,742,"DELAWARE, OH",B,67,27242,990-1250,DELAWARE, OH,990,1250,1120.0
742,Penn State Schuylkill,743,"SCHUYLKILL HAVEN, PA",B,74,17481,890-1100,SCHUYLKILL HAVEN, PA,890,1100,995.0
743,Rocky Mountain College,744,"BILLINGS, MT",B,59,18999,940-1170,BILLINGS, MT,940,1170,1055.0
744,California State University - Stanislaus,745,"TURLOCK, CA",B,89,7069,810-1030,TURLOCK, CA,810,1030,920.0
745,Texas A&M University - Commerce,746,"COMMERCE, TX",B,43,12477,950-1150,COMMERCE, TX,950,1150,1050.0
746,University of Central Arkansas,747,"CONWAY, AR",B,90,14796,960-1160,CONWAY, AR,960,1160,1060.0
747,Milwaukee Institute of Art & Design,748,"MILWAUKEE, WI",B,68,25557,,MILWAUKEE, WI,,,
748,University of Sioux Falls,749,"SIOUX FALLS, SD",B,91,19744,1070-1230,SIOUX FALLS, SD,1070,1230,1150.0
749,Southern Adventist University,750,"COLLEGEDALE, TN",B,100,23623,920-1180,COLLEGEDALE, TN,920,1180,1050.0
750,Saint Martin's University,751,"LACEY, WA",B,96,24596,970-1170,LACEY, WA,970,1170,1070.0
751,Mount Carmel College of Nursing,752,"COLUMBUS, OH",B,74,15560,,COLUMBUS, OH,,,
752,Nicholls State University,753,"THIBODAUX, LA",B,88,11545,1000-1170,THIBODAUX, LA,1000,1170,1085.0
753,Wichita State University,754,"WICHITA, KS",B,92,13849,1030-1270,WICHITA, KS,1030,1270,1150.0
754,Mount Mary University,755,"MILWAUKEE, WI",B,58,20156,880-990,MILWAUKEE, WI,880,990,935.0
755,Utica College,756,"UTICA, NY",B,87,22474,830-1050,UTICA, NY,830,1050,940.0
756,Geneva College,757,"BEAVER FALLS, PA",B,53,19400,1020-1240,BEAVER FALLS, PA,1020,1240,1130.0
757,San Jose State University,758,"SAN JOSE, CA",B,64,14471,1020-1260,SAN JOSE, CA,1020,1260,1140.0
758,University of Connecticut - Avery Point,759,"GROTON, CT",B,94,7488,1010-1200,GROTON, CT,1010,1200,1105.0
759,Siena College,760,"LOUDONVILLE, NY",B,81,27997,1020-1220,LOUDONVILLE, NY,1020,1220,1120.0
760,Musicians Institute,761,"HOLLYWOOD, CA",B,69,34835,,HOLLYWOOD, CA,,,
761,Young Harris College,762,"YOUNG HARRIS, GA",B,65,18431,950-1130,YOUNG HARRIS, GA,950,1130,1040.0
762,University of Wisconsin - Stevens Point,763,"STEVENS POINT, WI",B,85,12797,,STEVENS POINT, WI,,,
763,Angelo State University,764,"SAN ANGELO, TX",B,77,12169,930-1120,SAN ANGELO, TX,930,1120,1025.0
764,Goshen College,765,"GOSHEN, IN",B,63,19772,1010-1210,GOSHEN, IN,1010,1210,1110.0
765,School of Visual Arts,766,"NEW YORK, NY",B,71,49548,1080-1350,NEW YORK, NY,1080,1350,1215.0
766,Hampshire College,767,"AMHERST, MA",B,63,35499,,AMHERST, MA,,,
767,College of Our Lady of the Elms,768,"CHICOPEE, MA",B,75,23871,970-1130,CHICOPEE, MA,970,1130,1050.0
768,Anderson University - South Carolina,769,"ANDERSON, SC",B,69,21599,860-1210,ANDERSON, SC,860,1210,1035.0
769,Penn State Mont Alto,770,"MONT ALTO, PA",B,76,20334,970-1180,MONT ALTO, PA,970,1180,1075.0
770,Kansas Wesleyan University,771,"SALINA, KS",B,61,21831,970-1110,SALINA, KS,970,1110,1040.0
771,Lancaster Bible College - Capital Seminary & Graduate School,772,"LANCASTER, PA",B,96,22402,980-1180,LANCASTER, PA,980,1180,1080.0
772,SUNY Fredonia,773,"FREDONIA, NY",B,71,14631,990-1200,FREDONIA, NY,990,1200,1095.0
773,Franciscan University of Steubenville,774,"STEUBENVILLE, OH",B,77,26356,1090-1300,STEUBENVILLE, OH,1090,1300,1195.0
774,Penn State Harrisburg,775,"MIDDLETOWN, PA",B,88,22306,1050-1290,MIDDLETOWN, PA,1050,1290,1170.0
775,Texas Lutheran University,776,"SEGUIN, TX",B,56,19896,990-1160,SEGUIN, TX,990,1160,1075.0
776,Alma College,777,"ALMA, MI",B,62,23180,1030-1230,ALMA, MI,1030,1230,1130.0
777,Central Washington University,778,"ELLENSBURG, WA",B,85,16014,950-1170,ELLENSBURG, WA,950,1170,1060.0
778,McKendree University,779,"LEBANON, IL",B,63,21764,860-1270,LEBANON, IL,860,1270,1065.0
779,North Greenville University,780,"TIGERVILLE, SC",B,63,19124,870-1240,TIGERVILLE, SC,870,1240,1055.0
780,Walla Walla University,781,"COLLEGE PLACE, WA",B,100,22135,920-1210,COLLEGE PLACE, WA,920,1210,1065.0
781,Woodbury University,782,"BURBANK, CA",B,66,26349,940-1220,BURBANK, CA,940,1220,1080.0
782,California State University - Los Angeles,783,"LOS ANGELES, CA",B,48,3255,890-1080,LOS ANGELES, CA,890,1080,985.0
783,Millersville University of Pennsylvania,784,"MILLERSVILLE, PA",B,79,21505,980-1170,MILLERSVILLE, PA,980,1170,1075.0
784,Mount St. Mary's University,785,"EMMITSBURG, MD",B,75,29283,990-1200,EMMITSBURG, MD,990,1200,1095.0
785,New York Film Academy - Los Angeles,786,"BURBANK, CA",B,100,43409,,BURBANK, CA,,,
786,Bloomsburg University,787,"BLOOMSBURG, PA",B,84,18075,950-1150,BLOOMSBURG, PA,950,1150,1050.0
787,Penn State Hazleton,788,"HAZLETON, PA",B,86,19174,930-1140,HAZLETON, PA,930,1140,1035.0
788,Eastern Connecticut State University,789,"WILLIMANTIC, CT",B,64,18572,,WILLIMANTIC, CT,,,
789,Washburn University,790,"TOPEKA, KS",B,100,13752,,TOPEKA, KS,,,
790,SUNY Geneseo,791,"GENESEO, NY",B,65,17341,1120-1310,GENESEO, NY,1120,1310,1215.0
791,Arizona State University - Polytechnic Campus,792,"MESA, AZ",B,84,11447,1120-1300,MESA, AZ,1120,1300,1210.0
792,Springfield College - Massachusetts,793,"SPRINGFIELD, MA",B,68,29706,1020-1220,SPRINGFIELD, MA,1020,1220,1120.0
793,University of Houston - Victoria,794,"VICTORIA, TX",B,56,10063,930-1090,VICTORIA, TX,930,1090,1010.0
794,Buena Vista University,795,"STORM LAKE, IA",B,57,18449,930-1110,STORM LAKE, IA,930,1110,1020.0
795,Viterbo University,796,"LA CROSSE, WI",B,77,20747,1050-1270,LA CROSSE, WI,1050,1270,1160.0
796,University of Michigan - Flint,797,"FLINT, MI",B,66,12153,970-1220,FLINT, MI,970,1220,1095.0
797,Cornerstone University,798,"GRAND RAPIDS, MI",B,78,19923,950-1190,GRAND RAPIDS, MI,950,1190,1070.0
798,Northern Illinois University,799,"DEKALB, IL",B,48,18346,940-1170,DEKALB, IL,940,1170,1055.0
799,University of Colorado - Colorado Springs,800,"COLORADO SPRINGS, CO",B,87,16221,1020-1230,COLORADO SPRINGS, CO,1020,1230,1125.0
