,name,rating,location,niche_grade,acceptance_rate (%),net_price ($),SAT_range,city,state,SAT_low,SAT_high,SAT_average
498,Pittsburg State University,499,"PITTSBURG, KS",B,96,13847,920-1180,PITTSBURG, KS,920,1180,1050.0
499,"Minnesota State University, Mankato",500,"MANKATO, MN",B,63,14464,886-1106,MANKATO, MN,886,1106,996.0
500,Andrews University,501,"BERRIEN SPRINGS, MI",B,67,22291,1060-1360,BERRIEN SPRINGS, MI,1060,1360,1210.0
501,University of Texas - Arlington,502,"ARLINGTON, TX",B,83,14445,1040-1250,ARLINGTON, TX,1040,1250,1145.0
502,Emporia State University,503,"EMPORIA, KS",B,85,14319,950-1060,EMPORIA, KS,950,1060,1005.0
503,Texas State University,504,"SAN MARCOS, TX",B,81,13178,1010-1180,SAN MARCOS, TX,1010,1180,1095.0
504,North Park University,505,"CHICAGO, IL",B,48,20068,970-1180,CHICAGO, IL,970,1180,1075.0
505,Embry-Riddle Aeronautical University - Worldwide,506,"DAYTONA BEACH, FL",B,62,20500,,DAYTONA BEACH, FL,,,
506,Everglades University,507,"BOCA RATON, FL",B,75,29365,,BOCA RATON, FL,,,
507,Rutgers University - Camden,508,"CAMDEN, NJ",B,79,13844,980-1170,CAMDEN, NJ,980,1170,1075.0
508,Purdue University Northwest,509,"HAMMOND, IN",B,29,10157,980-1160,HAMMOND, IN,980,1160,1070.0
509,Ursinus College,510,"COLLEGEVILLE, PA",B,79,30421,1150-1350,COLLEGEVILLE, PA,1150,1350,1250.0
510,CUNY Queens College,511,"QUEENS, NY",B,49,4471,1040-1200,QUEENS, NY,1040,1200,1120.0
511,SUNY Oswego,512,"OSWEGO, NY",B,54,15762,1070-1240,OSWEGO, NY,1070,1240,1155.0
512,The King's College - New York,513,"NEW YORK, NY",B,42,34069,1100-1310,NEW YORK, NY,1100,1310,1205.0
513,University of Hawaii - West Oahu,514,"KAPOLEI, HI",B,84,11766,940-1100,KAPOLEI, HI,940,1100,1020.0
514,Hope International University,515,"FULLERTON, CA",B,37,20850,910-1070,FULLERTON, CA,910,1070,990.0
515,Marian University Indianapolis,516,"INDIANAPOLIS, IN",B,62,20572,970-1180,INDIANAPOLIS, IN,970,1180,1075.0
516,University of South Alabama,517,"MOBILE, AL",B,79,13624,1030-1220,MOBILE, AL,1030,1220,1125.0
517,The University of West Alabama,518,"LIVINGSTON, AL",B,35,15383,860-1020,LIVINGSTON, AL,860,1020,940.0
518,Elon University,519,"ELON, NC",B,78,36564,1160-1320,ELON, NC,1160,1320,1240.0
519,Boise State University,520,"BOISE, ID",B,77,13237,1030-1230,BOISE, ID,1030,1230,1130.0
520,Brigham Young University - Idaho,521,"REXBURG, ID",B,96,7038,990-1200,REXBURG, ID,990,1200,1095.0
521,University of Memphis,522,"MEMPHIS, TN",B,85,13481,1010-1230,MEMPHIS, TN,1010,1230,1120.0
522,Stephen F. Austin State University,523,"NACOGDOCHES, TX",B,68,12866,990-1180,NACOGDOCHES, TX,990,1180,1085.0
523,Troy University,524,"TROY, AL",B,88,12951,930-1090,TROY, AL,930,1090,1010.0
524,Lawrence Technological University,525,"SOUTHFIELD, MI",B,79,32406,1020-1270,SOUTHFIELD, MI,1020,1270,1145.0
525,Arizona State University - West Campus,526,"GLENDALE, AZ",B,82,9349,1040-1270,GLENDALE, AZ,1040,1270,1155.0
526,Manchester University,527,"NORTH MANCHESTER, IN",B,56,17938,865-1090,NORTH MANCHESTER, IN,865,1090,977.5
527,Elmhurst University,528,"ELMHURST, IL",B,68,22791,990-1210,ELMHURST, IL,990,1210,1100.0
528,St. Edward's University,529,"AUSTIN, TX",B,88,28214,1060-1240,AUSTIN, TX,1060,1240,1150.0
529,Westminster College - Utah,530,"SALT LAKE CITY, UT",B,100,22971,1000-1300,SALT LAKE CITY, UT,1000,1300,1150.0
530,Hamline University,531,"SAINT PAUL, MN",B,68,22253,1000-1260,SAINT PAUL, MN,1000,1260,1130.0
531,Florida A&M University,532,"TALLAHASSEE, FL",B,36,14610,1030-1160,TALLAHASSEE, FL,1030,1160,1095.0
532,Queens University of Charlotte,533,"CHARLOTTE, NC",B,65,24286,1040-1240,CHARLOTTE, NC,1040,1240,1140.0
533,Dominican University,534,"RIVER FOREST, IL",B,64,19280,1000-1200,RIVER FOREST, IL,1000,1200,1100.0
534,Albion College,535,"ALBION, MI",B,69,18532,990-1200,ALBION, MI,990,1200,1095.0
535,Otterbein University,536,"WESTERVILLE, OH",B,80,23732,1060-1250,WESTERVILLE, OH,1060,1250,1155.0
536,Central College,537,"PELLA, IA",B,65,23343,980-1240,PELLA, IA,980,1240,1110.0
537,Messiah University,538,"MECHANICSBURG, PA",B,76,28867,1090-1310,MECHANICSBURG, PA,1090,1310,1200.0
