name,college_lat,college_lng
Embry-Riddle Aeronautical University - Worldwide,38.2719001,-121.9388656
Everglades University,26.3917512,-80.106239
Rutgers University - Camden,39.9485343,-75.1219278
Purdue University Northwest,41.5797663,-87.4740171
Ursinus College,40.19396769999999,-75.4563232
CUNY Queens College,40.73664369999999,-73.8200894
SUNY Oswego,43.45139280000001,-76.5425285
The King's College - New York,40.7066799,-74.01234
University of Hawaii - West Oahu,21.3561926,-158.056219
Hope International University,33.876788,-117.8854268
Marian University Indianapolis,39.8181325,-86.20275360000001
University of South Alabama,30.6959406,-88.184236
The University of West Alabama,32.5971376,-88.1869512
Elon University,36.1026877,-79.5023313
Boise State University,43.6026952,-116.2014604
Brigham Young University - Idaho,43.8144101,-111.783255
University of Memphis,35.1187498,-89.9374928
Stephen F. Austin State University,31.6206018,-94.64506019999999
Troy University,31.8010955,-85.9572999
Lawrence Technological University,42.47483649999999,-83.2503021
Arizona State University - West Campus,33.6069689,-112.15965
Manchester University,41.0111723,-85.7603577
Elmhurst University,41.8969889,-87.9471365
St. Edward's University,30.2289467,-97.7526464
Westminster College - Utah,40.7322206,-111.8549815
Hamline University,44.9656861,-93.1650999
Florida A&M University,30.3848991,-84.2291968
Queens University of Charlotte,35.188626,-80.83297240000002
Dominican University,41.902411,-87.822057
Albion College,42.2440064,-84.7451775
Otterbein University,40.1255427,-82.93651919999999
Central College,41.4005091,-92.9192339
Messiah University,40.1582728,-76.9896306
Western Illinois University,40.4766148,-90.68435989999999
California State University - Fresno,36.8133631,-119.7460947
University of Texas - Rio Grande Valley,26.3081983,-98.17401579999999
Northwest Missouri State University,40.3519854,-94.8825243
Jacksonville University,30.3530584,-81.6066798
University of Wisconsin - Superior,46.7177476,-92.0881522
Gallaudet University,38.908422,-76.99238749999999
Concordia University - Wisconsin,43.2541994,-87.915531
Kent State University,41.1455594,-81.33928829999999
William Jewell College,39.2474251,-94.4125145
University of Mount Union,40.9056089,-81.10923629999999
CUNY Brooklyn College,40.6311257,-73.9523802
Bethany Lutheran College,44.1667466,-93.9912901
Transylvania University,38.0516801,-84.49334189999999
King University - Tennessee,36.5869972,-82.15945119999999
CUNY Hunter College,40.7678398,-73.9645291
University of Rhode Island,41.4860647,-71.5308537
Washington & Jefferson College,47.7510741,-120.7401385
Saginaw Valley State University,43.5142733,-83.9623559
Trevecca Nazarene University,36.1425269,-86.75326749999999
Maryville College,35.7514166,-83.96416339999999
University of Texas - Tyler,32.315745,-95.25423099999999
Christian Brothers University,35.1284532,-89.9812503
La Salle University,40.0390398,-75.1558184
"Concordia University, Nebraska",40.91437120000001,-97.0896219
Oregon Institute of Technology,42.2573474,-121.7849109
Eastern Illinois University,39.4780295,-88.175905
Central Michigan University,43.5819086,-84.7756364
Northern Arizona University,35.1804402,-111.6539683
Carroll College,46.60073690000001,-112.0386887
Georgia State University,33.753068,-84.38528190000001
West Chester University of Pennsylvania,39.9521856,-75.5978255
Georgia College & State University,33.0804485,-83.2319298
University of Maine,44.901867,-68.66882509999999
Wilkes University,41.2449585,-75.8883633
Indiana University - Southeast,38.3449041,-85.819778
Saint Michael's College,44.49598,-73.163743
Sam Houston State University,30.7129975,-95.547291
Southern Utah University,37.6764461,-113.0713001
University of South Carolina Aiken,33.5733297,-81.76595979999999
University of North Carolina Asheville,35.615096,-82.56536559999999
University of Wisconsin - Milwaukee,43.078263,-87.8819686
Murray State University,36.6163842,-88.3214979
Florida Southern College,28.0314545,-81.9450401
Saint Francis University,40.50382,-78.6376191
Penn State Erie - The Behrend College,42.11989639999999,-79.9827376
Winthrop University,34.9395941,-81.0316686
Drury University,37.2199202,-93.2859409
University of the Incarnate Word,29.4675393,-98.4676824
Eastern New Mexico University,34.1775401,-103.3477839
Walsh University,40.873658,-81.36965599999999
University of New Orleans,30.0302281,-90.0631789
Indiana University - Kokomo,40.4594451,-86.13165509999999
North Carolina A&T State University,35.7595731,-79.01929969999999
Tennessee Technological University,36.1757592,-85.5086374
Bennington College,42.9203078,-73.2359361
Winona State University,44.0473997,-91.6432837
Upper Iowa University,31.13829,-97.76557
Lander University,34.200389,-82.16518219999999
Piedmont University,34.5665363,-83.5419975
Bay Path University,42.0557328,-72.583648
California State University - San Marcos,33.1294938,-117.1595707
Western Carolina University,35.3090108,-83.1863612
Nevada State College,35.98330869999999,-114.9386542
North Central College,41.772663,-88.1440142
Drew University,40.7602397,-74.4266389
Roosevelt University,42.0532808,-88.0376332
Newman University,37.673508,-97.37774399999999
Northwest University,47.6576921,-122.1924837
Meredith College,35.7991715,-78.6882481
Augusta University,33.4709094,-81.9898848
University of Wisconsin - Eau Claire,44.79562199999999,-91.50390279999999
Fresno Pacific University,36.7268898,-119.7341818
Xavier University of Louisiana,29.9641088,-90.107647
Niagara University,43.1369816,-79.0349955
Monmouth College,40.9135265,-90.6386297
University of Massachusetts - Boston,42.31420749999999,-71.0365307
Lee University,35.1659566,-84.869399
University of Wisconsin - Stout,44.8716186,-91.9267041
University of Tennessee - Martin,36.3426326,-88.8624636
California State University - Sacramento,38.5584592,-121.4218216
Chaminade University of Honolulu,21.2905834,-157.8073982
Wittenberg University,39.9350689,-83.8139097
Baker University,38.7774862,-95.1888342
Penn State Altoona,40.5410764,-78.4105926
University of Mary Washington,38.3013039,-77.47447
Ramapo College of New Jersey,41.0815852,-74.17610150000002
Penn State Berks,40.359947,-75.97614899999999
